date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2020-02-12,154186.76,100000.0,54186.76,-0.12658,45.44231
2020-02-13,154186.76,100000.0,54186.76,0.0,45.44231
2020-02-14,154186.76,100000.0,54186.76,0.0,45.44231
2020-02-15,154186.76,100000.0,54186.76,0.0,45.44231
2020-02-16,154186.76,100000.0,54186.76,0.0,45.44231
2020-02-17,154407.42,100000.0,54407.42,0.14311,45.58542
2020-02-18,154883.91,100000.0,54883.91,0.30859,45.89402
2020-02-19,155395.46,100000.0,55395.46,0.33028,46.22429
2020-02-20,155565.34,100000.0,55565.34,0.10932,46.33362
2020-02-21,155565.34,100000.0,55565.34,0.0,46.33362
2020-02-22,155565.34,100000.0,55565.34,0.0,46.33362
2020-02-23,155565.34,100000.0,55565.34,0.0,46.33362
2020-02-24,155987.39,100000.0,55987.39,0.2713,46.60492
2020-02-25,155987.39,100000.0,55987.39,0.0,46.60492
2020-02-26,155987.39,100000.0,55987.39,0.0,46.60492
2020-02-27,155987.39,100000.0,55987.39,0.0,46.60492
2020-02-28,155987.39,100000.0,55987.39,0.0,46.60492
2020-02-29,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-01,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-02,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-03,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-04,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-05,155987.39,100000.0,55987.39,0.0,46.60492
2020-03-06,156633.52,100000.0,56633.52,0.41422,47.01914
2020-03-07,156633.52,100000.0,56633.52,0.0,47.01914
2020-03-08,156633.52,100000.0,56633.52,0.0,47.01914
2020-03-09,153940.97,100000.0,53940.97,-1.71901,45.30012
2020-03-10,153634.99,100000.0,53634.99,-0.19876,45.10136
2020-03-11,153634.99,100000.0,53634.99,0.0,45.10136
2020-03-12,156449.61,100000.0,56449.61,1.83202,46.93338
2020-03-13,159551.55,100000.0,59551.55,1.98271,48.91609
2020-03-14,159551.55,100000.0,59551.55,0.0,48.91609
2020-03-15,159551.55,100000.0,59551.55,0.0,48.91609
2020-03-16,161299.95,100000.0,61299.95,1.09582,50.01191
2020-03-17,162420.44,100000.0,62420.44,0.69466,50.70657
2020-03-18,163720.33,100000.0,63720.33,0.80032,51.50689
2020-03-19,163720.33,100000.0,63720.33,0.0,51.50689
2020-03-20,163720.33,100000.0,63720.33,0.0,51.50689
2020-03-21,163720.33,100000.0,63720.33,0.0,51.50689
2020-03-22,163720.33,100000.0,63720.33,0.0,51.50689
2020-03-23,162924.08,100000.0,62924.08,-0.48635,51.02055
2020-03-24,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-25,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-26,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-27,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-28,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-29,162924.08,100000.0,62924.08,0.0,51.02055
2020-03-30,158099.99,100000.0,58099.99,-2.96094,48.0596
2020-03-31,158033.25,100000.0,58033.25,-0.04221,48.01739
2020-04-01,158033.25,100000.0,58033.25,0.0,48.01739
2020-04-02,146160.69,100000.0,46160.69,-7.5127,40.50469
2020-04-03,145940.57,100000.0,45940.57,-0.1506,40.35409
2020-04-04,145940.57,100000.0,45940.57,0.0,40.35409
2020-04-05,145940.57,100000.0,45940.57,0.0,40.35409
2020-04-06,146005.22,100000.0,46005.22,0.0443,40.39839
2020-04-07,149228.41,100000.0,49228.41,2.20759,42.60597
2020-04-08,150067.37,100000.0,50067.37,0.5622,43.16817
2020-04-09,150032.1,100000.0,50032.1,-0.0235,43.14467
2020-04-10,149248.18,100000.0,49248.18,-0.5225,42.62217
2020-04-11,149248.18,100000.0,49248.18,0.0,42.62217
2020-04-12,149248.18,100000.0,49248.18,0.0,42.62217
2020-04-13,151173.14,100000.0,51173.14,1.28977,43.91194
2020-04-14,151173.14,100000.0,51173.14,0.0,43.91194
2020-04-15,151476.94,100000.0,51476.94,0.20096,44.1129
2020-04-16,146412.88,100000.0,46412.88,-3.34312,40.76978
2020-04-17,147151.21,100000.0,47151.21,0.50428,41.27406
2020-04-18,147151.21,100000.0,47151.21,0.0,41.27406
2020-04-19,147151.21,100000.0,47151.21,0.0,41.27406
2020-04-20,145853.09,100000.0,45853.09,-0.88217,40.39189
2020-04-21,145609.6,100000.0,45609.6,-0.16694,40.22495
2020-04-22,144753.19,100000.0,44753.19,-0.58815,39.63679
2020-04-23,148322.64,100000.0,48322.64,2.46589,42.10268
2020-04-24,148252.15,100000.0,48252.15,-0.04752,42.05516
2020-04-25,148252.15,100000.0,48252.15,0.0,42.05516
2020-04-26,148252.15,100000.0,48252.15,0.0,42.05516
2020-04-27,148071.65,100000.0,48071.65,-0.12175,41.9334
2020-04-28,149293.7,100000.0,49293.7,0.82531,42.75871
2020-04-29,159647.06,100000.0,59647.06,6.93489,49.69361
2020-04-30,172074.55,100000.0,72074.55,7.78435,57.47796
2020-05-01,172074.55,100000.0,72074.55,0.0,57.47796
2020-05-02,172074.55,100000.0,72074.55,0.0,57.47796
2020-05-03,172074.55,100000.0,72074.55,0.0,57.47796
2020-05-04,172587.23,100000.0,72587.23,0.29794,57.7759
2020-05-05,172587.23,100000.0,72587.23,0.0,57.7759
2020-05-06,172587.23,100000.0,72587.23,0.0,57.7759
2020-05-07,167394.35,100000.0,67394.35,-3.00884,54.76706
2020-05-08,164028.33,100000.0,64028.33,-2.01083,52.75622
2020-05-09,164028.33,100000.0,64028.33,0.0,52.75622
2020-05-10,164028.33,100000.0,64028.33,0.0,52.75622
2020-05-11,165175.67,100000.0,65175.67,0.69948,53.4557
2020-05-12,166236.95,100000.0,66236.95,0.64252,54.09822
2020-05-13,167054.64,100000.0,67054.64,0.49188,54.5901
2020-05-14,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-15,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-16,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-17,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-18,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-19,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-20,167054.64,100000.0,67054.64,0.0,54.5901
2020-05-21,168444.56,100000.0,68444.56,0.83202,55.42211
2020-05-22,169900.31,100000.0,69900.31,0.86423,56.28635
2020-05-23,169900.31,100000.0,69900.31,0.0,56.28635
2020-05-24,169900.31,100000.0,69900.31,0.0,56.28635
2020-05-25,171066.02,100000.0,71066.02,0.68611,56.97246
2020-05-26,171318.91,100000.0,71318.91,0.14783,57.12029
2020-05-27,171408.94,100000.0,71408.94,0.05255,57.17284
2020-05-28,171408.94,100000.0,71408.94,0.0,57.17284
2020-05-29,170868.4,100000.0,70868.4,-0.31535,56.85749
2020-05-30,170868.4,100000.0,70868.4,0.0,56.85749
2020-05-31,170868.4,100000.0,70868.4,0.0,56.85749
2020-06-01,172267.33,100000.0,72267.33,0.81872,57.67621
2020-06-02,166471.0,100000.0,66471.0,-3.36473,54.31148
2020-06-03,166471.0,100000.0,66471.0,0.0,54.31148
2020-06-04,165051.23,100000.0,65051.23,-0.85286,53.45862
2020-06-05,164263.33,100000.0,64263.33,-0.47737,52.98125
2020-06-06,164263.33,100000.0,64263.33,0.0,52.98125
2020-06-07,164263.33,100000.0,64263.33,0.0,52.98125
2020-06-08,164263.33,100000.0,64263.33,0.0,52.98125
2020-06-09,163517.29,100000.0,63517.29,-0.45417,52.52708
2020-06-10,163334.07,100000.0,63334.07,-0.11205,52.41503
2020-06-11,165082.94,100000.0,65082.94,1.07073,53.48576
2020-06-12,165072.88,100000.0,65072.88,-0.00609,53.47966
2020-06-13,165072.88,100000.0,65072.88,0.0,53.47966
2020-06-14,165072.88,100000.0,65072.88,0.0,53.47966
2020-06-15,163565.62,100000.0,63565.62,-0.91309,52.56658
2020-06-16,161214.86,100000.0,61214.86,-1.4372,51.12938
2020-06-17,161214.86,100000.0,61214.86,0.0,51.12938
2020-06-18,161214.86,100000.0,61214.86,0.0,51.12938
2020-06-19,161214.86,100000.0,61214.86,0.0,51.12938
